id,sha256,bucket,model,iso,compression,width,height,size_bytes
ref-00080.nef,ed1a84017b503e3fdc4e670f312e293b14e1d6e5ce9191f43a8cc8d6198fadad,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23478272
ref-00081.nef,57e41db7ca0a943ec92573d41dc275f88b10212816bfc0f2dc7b1030ca30ab59,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23592960
ref-00082.nef,0a669f5fd9f641062aea10ee68b15d1353ed6afd36513e525f62da90e58ba092,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23577600
ref-00083.nef,1f1e1d3c6c7b3685d0a13c8aa96939c6088a7107a41e524b0e094f2f0cc492e9,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23577600
ref-00084.nef,ba9d7617d64d433216e221e4fa570d4a77eeae2f2ad4b5c9d9bde086e4dc0e46,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23836672
ref-00085.nef,dd06750866db31e22cfef7ead68aba1a9d6eaa42a66b5e31098166e3e40958a2,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23233024
ref-00086.nef,7c0e4f4889e0ceb8751213cab08b4859c1b1bda59a801d97278528e0d22af334,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23607808
ref-00087.nef,06b4921365067758ef5ea9fdd4bb0c089fcdfa8fbbc772ed623e34774810a9b7,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23346688
ref-00088.nef,a8e55763b5b2948e7f8247995f8be6dc25a2d674fd28cf74586d78e6223a53b5,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23467008
ref-00089.nef,ff288ecd4f10dc5e35d3166fb1bb3f20b77a3b8c6272f7653b87975c73782d76,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23748096
ref-00090.nef,bfe9ad4f3cbcec77d5945881d268d9c4df8526775e0cd561fc50d6809b65fff4,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23815168
ref-00091.nef,708e7ce92664ea6d47e325ebcd62591ecbaa61168f24f06a69235f46abc0b65a,z8,NIKON Z 8,6400,High Efficiency,8280,5520,22980096
ref-00092.nef,087771f3b9990b009ddf5415fcfe6ca6d70346e81ae3956f6a9335965941e9f1,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23286784
ref-00093.nef,507b149c83a12c2344706c4282b79ea4589e8cb63e56e19336f0160048392e71,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23839744
ref-00094.nef,be0e077b38be60add6eb8f752fb6071b788c674648d4083690c046df64e6f102,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23467008
ref-00095.nef,ba4d482bf1e12aba04bc1f8d7f06921717faf6b35052e0824140f4a7b9805328,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23496704
ref-00096.nef,7604cad809ad21c45055a60b0e4d7c4bc9a171bb584904bf6083571d51d3f581,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23096320
ref-00097.nef,7e8592d3e68885789c9f473efeec1cf2f7b62155e8197287d8b88a27e3e68e4a,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23491584
ref-00098.nef,15eec375208a673fe908faf5bd235c58dcb82d92352631caaae72ce255c68bbb,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23450624
ref-00099.nef,c4e45de1f9b450a1f2b97340bc0411a3fd26a98345fa26629ed05f88f61826a5,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23887360
ref-00100.nef,e98f166dfa2850bcfd80ca015924eb234bcd96fa7a98a03850829cfceea82b65,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23270400
ref-00101.nef,59b9f0f86b3ccc02ba5d234f02f18aa0928f2875a5104b783ff6921d1287678f,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23767552
ref-00102.nef,9040a0c75acbbd30177a1e93ce48d0c8280f6c103a2049b233768a8831ebdc42,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23803904
ref-00103.nef,12668c44afa3389586cb53b0030b7ba299df11dd8584627adcc06ee1ee44882e,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24049664
ref-00104.nef,40c615c11587afc1ef2bae60d71f9ea07fe3724ef0196b48e5c4ce0f62bdbebf,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23885312
ref-00105.nef,265faec165c0cc69fec08467b72eb735dd4e8d3cc4729dce82153a9086bde264,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23496704
ref-00106.nef,d2058aac479f19925cb82d0aa6276408d4519e1e0704b898a24c61738c039fd4,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23634432
ref-00107.nef,99a150d387b52d52bf55a1f6860e45b05911588f4c1132cdf86f3791e7f5bc92,z8,NIKON Z 8,6400,High Efficiency,8280,5520,24080896
ref-00108.nef,2d808edd4ccbd88f3115768a98a6794610b5c71b63e051a51e18515d9c5ad08b,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23798272
ref-00109.nef,19c968a2c1cf902fc9da83f6e073e10e2fb17308efb0f640c7964a85ffaff6be,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23426048
ref-00110.nef,89bf532358cddef45b4c2cb433f6cdb7f4d81507ee821d5434459b418755cb47,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23696384
ref-00111.nef,530cf960817911af1aba9b4ae0c8726dfdb9c889b5bb18b15fc2ca401c9c438e,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23808000
ref-00112.nef,829791a4ab54ede28c58f1e70f456f78415c8c29d8223ebf2a7ca77dbbd085c4,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23923200
ref-00113.nef,892e1ac34365ac28bd349da681956fdd96e10b136c5458e90dc6a251f39908dc,z8,NIKON Z 8,6400,High Efficiency,8280,5520,23839232
